no;gambar;teks_asli;alergen_asli;status_halal
24;24.jpg;Beras (60.4732%), Minyak Nabati, Gula Pasir, Glukosa, Pati Kentang, Keju Bubuk (3.75%), Garam, Kecap Bubuk (Mengandung Kedelai), Penguat Rasa Mononatrium L-Glutamat, Antioksidan TBHQ.;susu, kedelai;halal aman
25;25.jpg;Tepung Terigu (30.53%), Keping Oats (21%), Cokelat Chip (15.1%), Gula, Lemak Nabati, Sirup Glukosa, Kakao Bubuk (1.67%), Kalsium Karbonat, Pengembang, Pengemulsi (Dinatrium Difosfat, Lesitin Kedelai), Garam, Kacang Hazel (0.21%), Perisa Sintetik.;gandum & gluten, kedelai, kacang pohon;titik kritis
26;26.jpg;Krim Coklat (40%) (Mengandung Gula, Lemak Nabati, Coklat Bubuk, Susu Bubuk, Pengemulsi Lesitin Kedelai (E322), Perisa Sintetik Vanilla, Perisa Alami Susu, Ekstrak Malt, Perisa Sintetik Cokelat, Garam, Antioksidan Tokoferol (E306))), Tepung Terigu, Gula, Susu Bubuk, Garam, Minyak Nabati, Pengemulsi Lesitin Kedelai (E322), Ekstrak Malt, Tepung Pisang (0,4%), Pewarna Alami Karamel Kelas III (E150c), Telur Bubuk.;gandum & gluten, susu, kedelai, telur;titik kritis
27;27.jpg;Beras Cokelat (53.42%), Beras Putih, Minyak Kelapa, Bumbu Bawang Putih Goreng (9.03%) (Mengandung Bawang Putih Bubuk (35%), Antioksidan Tokoferol).;tidak ada;halal aman
28;28.jpg;Brown Rice (53.42%), White Rice, Coconut Oil, Fried Garlic Seasoning (9.03%) (Contains Garlic Powder (35%), Antioxidant Tocopherol).;tidak ada;halal aman
29;29.jpg;oat, kurma, gula kelapa, biji chia, almond, santan bubuk, bubuk madu, garam.;gandum & gluten, kacang pohon;halal aman
30;30.jpg;oat, dates, coconut sugar, chia seed, almond, coconut milk powder, honey powder, salt.;gandum & gluten, kacang pohon;halal aman
31;31.jpg;oat, gula kelapa, pisang, biji chia, almond, bubuk cocoa, santan bubuk, garam.;gandum & gluten, kacang pohon;halal aman
32;32.jpg;oat, coconut sugar, banana, chia seeds, almond, cocoa powder, coconut milk powder, salt.;gandum & gluten, kacang pohon;halal aman
33;33.jpg;oat, gula kelapa, apel, biji chia, almond, santan bubuk, kayu manis bubuk, garam.;gandum & gluten, kacang pohon;halal aman
34;34.jpg;oat, coconut sugar, apple, chia seeds, almond, coconut milk powder, cinnamon powder, salt.;gandum & gluten, kacang pohon;halal aman
35;35.jpg;Tepung Mocaf Ladang Lima, Pati Jagung, Tepung Beras, Minyak Sayur, Penstabil Nabati (Xanthan Gum).;tidak ada;halal aman
36;36.jpg;Ladang Lima Cassava Flour, Corn Starch, Rice Flour, Vegetable Oil, Vegetable Stabilizer (Xanthan Gum).;tidak ada;halal aman
37;37.jpg;Oat, Cocoa Powder, Chia Seed, Almond, Pumpkin Seed, Sunflower Seed, Malt Extract, Non Dairy Creamer, Palm Sugar, Stevia Extract, Flavoring.;gandum & gluten, kacang pohon;titik kritis
38;38.jpg;Wheat Flour, Palm Oil, Sugar, Whole Milk Powder, Malt Syrup (Corn & Water), Ammonium Bicarbonate, Salt, Sodium Bicarbonate(Baking Soda);gandum & gluten, susu;halal aman
39;39.jpg;Krim Cokelat, Margarin, Tepung Gandum, Gula, Pati Jagung Kacang Hazel 5,6% Telur.;gandum & gluten, kacang pohon, telur;halal aman
40;40.jpg;Oat, Raisin, Cranberry, Chia Seed, Almond, Pumpkin Seed, Sunflower Seed, Non Dairy Creamer, Sugar, Stevia Extract, Cinnamon, Flavoring.;gandum & gluten, kacang pohon;titik kritis
41;41.jpg;Wheat Flour, Vegetable Fat, Sugar, Vegetable (Onion (6.8%), Carrot (4.09%), Leek Flake (3.72%));gandum & gluten;halal aman
42;42.jpg;Tepung Terigu, Lemak Reroti, Gula, Keju 5.5%, Garam, Kismis, Pengembang, Pengemulsi (Lesitin Kedelai), Telur, Perisa Sintetik.;gandum & gluten, susu, kedelai, telur;titik kritis
43;43.jpg;Wheat Flour, Shortening, Sugar, Cheese 5.5%, Salt, Raisin, Emulsifier (Soy Lecithin), Eggs, Synthetic Flavors.;gandum & gluten, susu, kedelai, telur;titik kritis
44;44.jpg;Tepung Terigu, Gula, Minyak Nabati, Susu Bubuk, Laktosa, Tepung Gandum Utuh, Oat Bubuk, Lemak Reroti, Inulin, Stroberi Serpihan, Tepung Beras Merah, Ekstrak Malt, Yogurt Bubuk, Garam, Pengatur Keasaman, Pengemulsi (Lesitin Kedelai), Perisa Sintetik.;gandum & gluten, susu, kedelai;titik kritis
45;45.jpg;Tapioka, Lemak Reroti, Gula, Keju (5,23%), Pengembang, Garam, Telur Bubuk, Perisa Sintetik.;susu, telur;titik kritis
46;46.jpg;Tepung Terigu (36%), Gula, Lemak Reroti, Krimer Minuman (Mengandung susu), Pati Tapioka, Maltodekstrin, Susu Bubuk, Dekstrosa, Pengemulsi (Lesitin Kedelai), Pengembang, Perisa Sintetik, Pisang Bubuk, Kopi Bubuk.;gandum & gluten, susu, kedelai;titik kritis
47;47.jpg;Wheat Flour (36%), Sugar, Shortening, Non Dairy Creamer (Contains milk), Tapioca Flour, Maltodextrine, Milk Powder, Dextrose, Emulsifiers (Soy Lecithin), Leavening Agent, Synthetic Flavour, Banana Powder, Coffee Powder.;gandum & gluten, susu, kedelai;titik kritis
48;48.jpg;Pati Kentang (33%), Serpihan Kentang (31%), Minyak Nabati, Pati Tapioka, Bumbu Rasa Rumput Laut (6%) (Mengandung Kedelai, Susu, Penguat Rasa), Garam.;kedelai, susu;halal aman
49;49.jpg;CHOCOLATE FILLING: SUGAR, PALM SHORTENING, SKIM MILK POWDER, COCOA POWDER, DE-MINERALIZED WHEY POWDER, WHEY POWDER, SOY LECITHIN, POLYGLYCEROL ESTERS OF FATTY ACIDS, VANILLIN-AN ARTIFICIAL FLAVOR, MALTODEXTRIN.;susu, kedelai;titik kritis
50;50.jpg;Beras (64.8%), Minyak Beras, Gula, Pati Tapioka Termodifikasi, Kecap Bubuk (Kedelai, Gandum, Dekstrin, Pewarna Alami Karamel IV), Penguat Rasa.;kedelai, gandum & gluten;halal aman
