no;gambar;teks_asli;alergen_asli;status_halal
33;33.jpg;oat, gula kelapa, apel, biji chia, almond, santan bubuk, kayu manis bubuk, garam.;gandum & gluten, kacang pohon;halal aman
34;34.jpg;oat, coconut sugar, apple, chia seeds, almond, coconut milk powder, cinnamon powder, salt.;gandum & gluten, kacang pohon;halal aman
35;35.jpg;Tepung Mocaf Ladang Lima, Pati Jagung, Tepung Beras, Minyak Sayur, Penstabil Nabati (Xanthan Gum).;tidak ada;halal aman
36;36.jpg;Ladang Lima Cassava Flour, Corn Starch, Rice Flour, Vegetable Oil, Vegetable Stabilizer (Xanthan Gum).;tidak ada;halal aman
37;37.jpg;Oat, Cocoa Powder, Chia Seed, Almond, Pumpkin Seed, Sunflower Seed, Malt Extract, Non Dairy Creamer, Palm Sugar, Stevia Extract, Flavoring.;gandum & gluten, kacang pohon;titik kritis
38;38.jpg;Wheat Flour, Palm Oil, Sugar, Whole Milk Powder, Malt Syrup (Corn & Water), Ammonium Bicarbonate, Salt, Sodium Bicarbonate(Baking Soda);gandum & gluten, susu;halal aman
39;39.jpg;Krim Cokelat, Margarin, Tepung Gandum, Gula, Pati Jagung Kacang Hazel 5,6% Telur.;gandum & gluten, kacang pohon, telur;halal aman
40;40.jpg;Oat, Raisin, Cranberry, Chia Seed, Almond, Pumpkin Seed, Sunflower Seed, Non Dairy Creamer, Sugar, Stevia Extract, Cinnamon, Flavoring.;gandum & gluten, kacang pohon;titik kritis
41;41.jpg;Wheat Flour, Vegetable Fat, Sugar, Vegetable (Onion (6.8%), Carrot (4.09%), Leek Flake (3.72%));gandum & gluten;halal aman
42;42.jpg;Tepung Terigu, Lemak Reroti, Gula, Keju 5.5%, Garam, Kismis, Pengembang, Pengemulsi (Lesitin Kedelai), Telur, Perisa Sintetik.;gandum & gluten, susu, kedelai, telur;titik kritis
43;43.jpg;MILK CHOCOLATE (SUGAR, CHOCOLATE, MILK, COCOA BUTTER, LACTOSE, SOY LECITHIN, SALT, ARTIFICIAL FLAVORS), SUGAR, LESS THAN 2%-CORNSTARCH, CORN SYRUP, GUM ACACIA, COLORING (INCLUDES RED 40, YELLOW 6, YELLOW 5, BLUE 1), DEXTRIN.;susu, kedelai;halal aman
44;44.jpg;DRIED POTATOES, VEGETABLE OIL(COTTONSEED, SUNFLOWER, AND/OR CORN OIL), UNMODIFIED POTATO STARCH, RICE FLOUR, AND LESS THAN 2% OF THE FOLLOWING: MOND-AND DIGLYCERIDES, SALT, SUGAR, DEXTROSE, AND SOY LECITHIN.;kedelai;halal aman
45;45.jpg;Tapioka, Lemak Reroti, Gula, Keju (5,23%), Pengembang, Garam, Telur Bubuk, Perisa Sintetik.;susu, telur;titik kritis
46;46.jpg;Whole Organic Yellow Corn, Expeller-Pressed Sunflower Oil, and Sea Salt, No Preservatives;tidak ada;halal aman
47;47.jpg;Potatoes, Vegetable Oil (Sunflower, Corn and/or Canola Oil), and Salt, No Preservatives.;tidak ada;halal aman
48;48.jpg;Pati Kentang (33%), Serpihan Kentang (31%), Minyak Nabati, Pati Tapioka, Bumbu Rasa Rumput Laut (6%) (Mengandung Kedelai, Susu, Penguat Rasa), Garam.;kedelai, susu, ikan;titik kritis
49;49.jpg;CHOCOLATE LIQUOR, SUGAR, COCOA BUTTER, COCOA POWDER, NIBBED ALMONDS 4.5%, BLUEBERRY GRANULES 2.5% (BLUEBERRY POWDER 50%, SUGAR), NATURAL FLAVORS.;susu;halal aman
50;50.jpg;Beras (64.8%), Minyak Beras, Gula, Pati Tapioka Termodifikasi, Kecap Bubuk (Kedelai, Gandum, Dekstrin, Pewarna Alami Karamel IV), Penguat Rasa.;kedelai, gandum & gluten;halal aman
